date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:51	4251/4251	---M--	200	added ('OK')	image/png	etag:%22665d1741-109b%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-02.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-02.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:51	4345/4345	---M--	200	added ('OK')	image/png	etag:%22665d1741-10f9%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-03.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-03.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:51	4185/4185	---M--	200	added ('OK')	image/png	etag:%22665d1741-1059%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index//vision-04.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-04.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:51	4300/4300	---M--	200	added ('OK')	image/png	etag:%22665d1741-10cc%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-05.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-05.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:52	4346/4346	---M--	200	added ('OK')	image/png	etag:%22665d1741-10fa%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-06.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-06.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:52	4171/4171	---M--	200	added ('OK')	image/png	etag:%22665d1741-104b%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-07.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-07.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:26:01	1406/1406	---M--	200	added ('OK')	image/png	etag:%22665d1741-57e%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-submit.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-submit.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:26:01	151/151	---M--	200	added ('OK')	image/png	etag:%22665d1741-97%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/line.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/line.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/style.css)
21:26:01	633536/633536	---M--	200	added ('OK')	image/png	etag:%22665d1741-9aac0%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-main.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-main.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/style.css)
21:26:02	709060/709060	---M--	200	added ('OK')	image/png	etag:%22665d1741-ad1c4%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-main.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-main.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/style.css)
21:26:02	298/298	---M--	200	added ('OK')	image/png	etag:%22665d1741-12a%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/arrow.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/arrow.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/style.css)
21:26:02	12009/12009	---M--	200	added ('OK')	image/png	etag:%22665d1741-2ee9%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-s2dgs.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-s2dgs.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:02	7327/7327	---M--	200	added ('OK')	image/png	etag:%22665d1741-1c9f%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:03	69986/69986	---M--	200	added ('OK')	image/png	etag:%22665d1741-11162%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals01.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals01.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:03	56986/56986	---M--	200	added ('OK')	image/png	etag:%22665d1741-de9a%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals02.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals02.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:03	59720/59720	---M--	200	added ('OK')	image/png	etag:%22665d1741-e948%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals03.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals03.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:04	65409/65409	---M--	200	added ('OK')	image/png	etag:%22665d1741-ff81%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals04.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals04.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:04	55024/55024	---M--	200	added ('OK')	image/png	etag:%22665d1741-d6f0%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals05.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/mission/mission-5goals05.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html)
21:26:04	461882/461882	---M--	200	added ('OK')	image/png	etag:%22665d1741-70c3a%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-mantoman.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-mantoman.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/product.html)
21:26:04	321577/321577	---M--	200	added ('OK')	image/png	etag:%22665d1741-4e829%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-media.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-media.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/product.html)
21:26:05	501017/501017	---M--	200	added ('OK')	image/png	etag:%22665d1741-7a519%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-career.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-career.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/product.html)
21:26:05	657724/657724	---M--	200	added ('OK')	image/png	etag:%22665d1741-a093c%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-b2b.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/product/product-b2b.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/product.html)
